AdjClose,Close,Datetime,High,Low,Open,Volume,_id
1394.4599609375,1394.4599609375,2000-01-01T05:00:00.000Z,1478,1350.1400146484375,1469.25,21494400000,60f3eeff653934d4cd51d8f9
1366.4200439453125,1366.4200439453125,2000-02-01T05:00:00.000Z,1444.550048828125,1325.0699462890625,1394.4599609375,20912000000,60f3eeff653934d4cd51d8fa
1498.5799560546875,1498.5799560546875,2000-03-01T05:00:00.000Z,1552.8699951171875,1346.6199951171875,1366.4200439453125,26156200000,60f3eeff653934d4cd51d8fb
1452.4300537109375,1452.4300537109375,2000-04-01T05:00:00.000Z,1527.18994140625,1339.4000244140625,1498.5799560546875,20106460000,60f3eeff653934d4cd51d8fc
1420.5999755859375,1420.5999755859375,2000-05-01T04:00:00.000Z,1481.510009765625,1361.0899658203125,1452.4300537109375,19898300000,60f3eeff653934d4cd51d8fd
1454.5999755859375,1454.5999755859375,2000-06-01T04:00:00.000Z,1488.9300537109375,1420.5999755859375,1420.5999755859375,21738300000,60f3eeff653934d4cd51d8fe
1430.8299560546875,1430.8299560546875,2000-07-01T04:00:00.000Z,1517.3199462890625,1413.8900146484375,1454.5999755859375,19089100000,60f3ef00653934d4cd51d8ff
1517.6800537109375,1517.6800537109375,2000-08-01T04:00:00.000Z,1525.2099609375,1425.4300537109375,1430.8299560546875,20363700000,60f3ef00653934d4cd51d900
1436.510009765625,1436.510009765625,2000-09-01T04:00:00.000Z,1530.0899658203125,1419.43994140625,1517.6800537109375,20838300000,60f3ef00653934d4cd51d901
1429.4000244140625,1429.4000244140625,2000-10-01T04:00:00.000Z,1454.8199462890625,1305.7900390625,1436.52001953125,25951400000,60f3ef00653934d4cd51d902
1314.949951171875,1314.949951171875,2000-11-01T05:00:00.000Z,1438.4599609375,1294.9000244140625,1429.4000244140625,20532300000,60f3ef00653934d4cd51d903
1320.280029296875,1320.280029296875,2000-12-01T05:00:00.000Z,1389.050048828125,1254.0699462890625,1314.949951171875,23610800000,60f3ef00653934d4cd51d904
1366.010009765625,1366.010009765625,2001-01-01T05:00:00.000Z,1383.3699951171875,1274.6199951171875,1320.280029296875,27829800000,60f3ef00653934d4cd51d905
1239.93994140625,1239.93994140625,2001-02-01T05:00:00.000Z,1376.3800048828125,1215.43994140625,1366.010009765625,21644400000,60f3ef00653934d4cd51d906
1160.3299560546875,1160.3299560546875,2001-03-01T05:00:00.000Z,1267.4200439453125,1081.18994140625,1239.93994140625,27806610000,60f3ef00653934d4cd51d907
1249.4599609375,1249.4599609375,2001-04-01T05:00:00.000Z,1269.300048828125,1091.989990234375,1160.3299560546875,25409990000,60f3ef00653934d4cd51d908
1255.8199462890625,1255.8199462890625,2001-05-01T04:00:00.000Z,1315.9300537109375,1232,1249.4599609375,24525900000,60f3ef00653934d4cd51d909
1224.3800048828125,1224.3800048828125,2001-06-01T04:00:00.000Z,1286.6199951171875,1203.030029296875,1255.8199462890625,24748030000,60f3ef00653934d4cd51d90a
1211.22998046875,1211.22998046875,2001-07-01T04:00:00.000Z,1239.780029296875,1165.5400390625,1224.4200439453125,23793710000,60f3ef00653934d4cd51d90b
1133.5799560546875,1133.5799560546875,2001-08-01T04:00:00.000Z,1226.27001953125,1124.8699951171875,1211.22998046875,23359200000,60f3ef00653934d4cd51d90c
1040.93994140625,1040.93994140625,2001-09-01T04:00:00.000Z,1155.4000244140625,944.75,1133.5799560546875,25025290000,60f3ef01653934d4cd51d90d
1059.780029296875,1059.780029296875,2001-10-01T04:00:00.000Z,1110.6099853515625,1026.760009765625,1040.93994140625,29951280000,60f3ef01653934d4cd51d90e
