Source,Target,Weight
NNN,VTR,0.938
NNN,WRE,0.942
NOC,O,0.911
NOC,PCG,0.95
NOC,PEAK,0.959
NOC,PEG,0.951
NOC,PLD,0.929
NOC,PNM,0.925
NOC,PNW,0.903
NOC,PPL,0.894
NOC,SBR,0.885
NOC,SCI,0.937
NOC,SHI,0.912
NOC,SKT,0.897
NOC,SO,0.921
NOC,SWK,0.947
NOC,TUP,0.911
NOC,VMI,0.885
NOC,WELL,0.925
NOC,WRI,0.916
NOC,WSO,0.939
NQP,OCN,0.893
NQP,PRG,0.891
NQP,TU,0.89
NSC,SHW,0.888
NSC,SUI,0.89
NSC,VTR,0.907
NSC,WTRG,0.916
NSL,SKX,0.944
NSL,TK,0.943
NTZ,OFG,0.929
NTZ,REV,0.92
NTZ,ROK,0.909
NTZ,RPM,0.889
NTZ,RVT,0.887
NTZ,SCHW,0.908
NTZ,SCS,0.885
NTZ,SSL,0.928
NTZ,TDF,0.885
NTZ,TEO,0.917
NTZ,USM,0.893
NTZ,WMT,0.898
NTZ,YPF,0.888
NUE,TWN,0.919
NUS,NUV,0.896
NUS,OFG,0.897
NUS,PKI,0.921
NUS,SF,0.927
NUS,SFE,0.916
NUS,VHC,0.906
NUS,WRB,0.89
NUV,OFG,0.891
NUV,TCI,0.914
NVR,SKX,0.896
NX,OFG,0.893
NX,PGR,0.885
NX,PKI,0.899
NX,RBA,0.954
NX,RHP,0.914
NX,SFE,0.905
NX,SID,0.95
NX,SMP,0.91
NX,SPB,0.906
NX,SYX,0.973
NX,TDF,0.891
NX,TEO,0.933
NX,TGNA,0.931
NX,TJX,0.925
NX,TPC,0.945
NX,TRT,0.926
NX,TWN,0.924
NX,UGP,0.955
NX,UNF,0.923
NX,USM,0.89
NX,VHC,0.934
NX,Y,0.903
NX,YPF,0.925
NXQ,TCI,0.886
NYCB,PLD,0.889
NYCB,SLF,0.899
NYCB,WELL,0.898
O,PCG,0.891
O,PEAK,0.917
O,PEG,0.909
O,PLD,0.893
O,PNM,0.944
O,PNW,0.944
O,SBR,0.919
O,SITC,0.887
O,SLG,0.912
O,SUI,0.91
O,TUP,0.906
O,WELL,0.889
O,WRI,0.969
OCN,RL,0.911
OCN,SRT,0.897
OCN,TRT,0.886
OFG,REV,0.894
OFG,SCHW,0.916
OFG,SF,0.927
OFG,SFE,0.908
OFG,SID,0.891
OFG,SSL,0.903
OFG,TDF,0.913
OFG,TEO,0.899
OFG,TGT,0.885
OFG,TPC,0.891
OFG,TRT,0.908
OFG,UGP,0.906
OFG,USM,0.956
OFG,VHC,0.935
OFG,WRB,0.906
OI,PKX,0.903
OI,RCL,0.897
OI,SJI,0.95
OI,SXT,0.94
OI,TGI,0.891
OMC,SPXC,0.894
OMC,WPP,0.921
OMI,SUI,0.892
OMI,VTR,0.894
OMI,WTRG,0.908
OXM,TGNA,0.898
PBI,SID,0.89
PBI,TPC,0.904
PCG,PEAK,0.929
PCG,PEG,0.987
PCG,PLD,0.929
PCG,PNM,0.931
PCG,PNW,0.935
PCG,PPL,0.965
PCG,SBR,0.932
PCG,SCI,0.959
PCG,SITC,0.891
PCG,SKT,0.903
PCG,SO,0.966
PCG,SWK,0.951
PCG,VFC,0.92
PCG,WEC,0.946
PCG,WELL,0.916
PCG,WRI,0.919
PCG,WSO,0.955
PEAK,PEG,0.947
PEAK,PLD,0.939
PEAK,PNM,0.924
PEAK,SBR,0.887
PEAK,SCI,0.93
PEAK,SITC,0.903
PEAK,SKT,0.918
PEAK,SO,0.914
PEAK,SUI,0.892
PEAK,SWK,0.944
PEAK,TUP,0.892
PEAK,VMI,0.891
PEAK,WELL,0.943
PEAK,WRI,0.922
PEAK,WSO,0.887
PEG,PLD,0.941
PEG,PNM,0.949
PEG,PNW,0.928
PEG,PPL,0.942
PEG,SBR,0.94
PEG,SCI,0.974
PEG,SITC,0.909
PEG,SKT,0.921
PEG,SO,0.97
PEG,SPG,0.907
PEG,SWK,0.945
PEG,VFC,0.907
PEG,WEC,0.94
PEG,WELL,0.928
PEG,WRI,0.941
PEG,WSO,0.925
PEI,PLD,0.9
PEI,SKT,0.909
PEI,SO,0.89
PEI,SUI,0.891
PEI,WELL,0.909
PEO,TG,0.9
PFE,TDY,0.891
PFE,WSO,0.914
PGR,SID,0.904
PGR,TPC,0.909
PGR,TWN,0.921
PHG,STM,0.895
PHI,PKX,0.934
PHI,RBA,0.941
PHI,RCL,0.933
PHI,RHP,0.935
PHI,RRC,0.885
PHI,SID,0.894
PHI,SJT,0.906
PHI,SQM,0.887
PHI,STE,0.929
PHI,SYX,0.939
PHI,TEO,0.899
PHI,TGI,0.911
PHI,TJX,0.893
PHI,UGP,0.903
PHI,UNF,0.9
PHI,Y,0.937
PHM,THC,0.886
PKI,RMT,0.894
PKI,SF,0.887
PKI,SFE,0.915
PKI,SID,0.899
PKI,SYX,0.899
PKI,TEO,0.893
PKI,TWN,0.908
PKI,UGP,0.891
PKX,RBA,0.905
PKX,RRC,0.888
PKX,SID,0.935
PKX,STE,0.909
PKX,SYX,0.901
PKX,TGI,0.893
PKX,TWN,0.951
PKX,Y,0.951
PKX,YPF,0.895
PLD,PNM,0.92
PLD,SCI,0.92
PLD,SKT,0.927
PLD,SO,0.928
PLD,SWK,0.904
PLD,WELL,0.955
PLD,WRI,0.914
PLD,WSO,0.914
PNM,PNW,0.969
PNM,PPL,0.907
PNM,SBR,0.913
PNM,SCI,0.918
PNM,SITC,0.893
PNM,SO,0.885
PNM,SWK,0.909
PNM,WELL,0.889
PNM,WRI,0.944
PNW,PPL,0.96
PNW,SBR,0.923
PNW,SCI,0.896
PNW,SSD,0.925
PNW,SWK,0.898
PNW,TKR,0.925
PNW,TVE,0.902
PNW,WRI,0.937
PPL,SBR,0.929
PPL,SCI,0.919
PPL,SO,0.895
PPL,SWK,0.918
PPL,VFC,0.907
PPL,WEC,0.927
PPL,WRI,0.902
PPL,WSO,0.915
PPT,RDN,0.894
PRG,RLI,0.904
PRG,SMP,0.885
PRG,TCI,0.927
PRG,TRT,0.91
PRG,TU,0.927
PRG,UNF,0.898
PRG,VHC,0.903
PRGO,RRC,0.893
PSB,SRE,0.917
PSB,SUI,0.891
PSB,UVV,0.964
PSB,WRE,0.931
RAMP,WBS,0.891
RBA,RCL,0.938
RBA,RHP,0.962
RBA,RRC,0.889
RBA,SID,0.949
RBA,SMP,0.894
RBA,SPB,0.908
RBA,STE,0.899
RBA,SYX,0.959
RBA,TEO,0.9
RBA,TGNA,0.915
RBA,TJX,0.956
RBA,TPC,0.929
RBA,TRT,0.894
RBA,TWN,0.902
RBA,UGP,0.96
RBA,UNF,0.947
RBA,VHC,0.886
RBA,Y,0.921
RBA,YPF,0.93
RCI,RMT,0.888
RCI,ROK,0.888
RCI,SID,0.906
RCI,SYX,0.892
RCI,TWN,0.909
RCI,WGO,0.894
RCI,Y,0.908
RCI,YPF,0.911
RCL,RHP,0.939
RCL,RRC,0.909
RCL,SJT,0.886
RCL,SPB,0.902
RCL,SYX,0.921
RCL,TJX,0.931
RDN,SIG,0.908
RES,SWN,0.887
RES,TEVA,0.886
REV,ROK,0.895
REV,RVT,0.905
REV,TEO,0.9
REV,TWN,0.885
REV,WY,0.902
RF,RL,0.938
RF,SJM,0.913
RF,TFC,0.92
RF,TGNA,0.892
RF,TGT,0.902
RF,WBS,0.903
RGR,SUI,0.907
RGR,SWN,0.925
RGR,UMH,0.895
RGR,WTRG,0.889
RGS,SCL,0.896
RGS,SJI,0.885
RGS,TGI,0.891
RHI,ZNH,0.947
RHP,SMP,0.901
RHP,SPB,0.886
RHP,SYX,0.947
RHP,TJX,0.948
RHP,TRT,0.886
RHP,UGP,0.931
RHP,UNF,0.966
RHP,VHC,0.891
RJF,SPXC,0.903
RJF,TG,0.904
RL,SJM,0.885
RL,SMP,0.904
RL,SRT,0.896
RLI,TCI,0.889
RLI,TRT,0.914
RLI,TU,0.888
RLI,UNF,0.893
RLI,VHC,0.905
ROG,TEN,0.887
ROG,WRE,0.906
ROK,RPM,0.895
ROK,SCS,0.914
ROK,SID,0.911
ROK,SNN,0.914
ROK,Y,0.905
RSG,VSH,0.886
SAH,SKX,0.887
SAH,TKR,0.897
SAP,VHC,0.888
SBR,SCI,0.924
SBR,SITC,0.892
SBR,SO,0.894
SBR,SPG,0.892
SBR,SUI,0.889
SBR,SWK,0.894
SBR,WRI,0.907
SBR,WSO,0.891
SCHW,SFE,0.89
SCHW,SOR,0.923
SCHW,TDF,0.952
SCHW,TEO,0.924
SCHW,TRT,0.932
SCHW,USM,0.915
SCHW,VHC,0.938
SCHW,VIV,0.886
SCHW,WRB,0.886
SCI,SKT,0.911
SCI,SO,0.94
SCI,SPG,0.916
SCI,SUI,0.89
SCI,SWK,0.94
SCI,VFC,0.898
SCI,VMI,0.91
SCI,WEC,0.924
SCI,WELL,0.932
SCI,WRI,0.912
SCI,WSO,0.915
SCS,SQM,0.894
SF,SFE,0.894
SF,SPXC,0.886
SF,WPP,0.889
SF,WRB,0.895
SFE,SYX,0.921
SFE,TDF,0.941
SFE,TEO,0.932
SFE,TRT,0.915
SFE,UGP,0.922
SFE,USM,0.924
SFE,VHC,0.944
SFE,WMB,0.898
SFE,WRB,0.918
SGU,UHS,0.902
SHI,SPGI,0.899
SHI,WPC,0.915
SHI,WSO,0.885
SHI,ZNH,0.916
SHW,SRE,0.887
SHW,THC,0.888
SID,SPE,0.892
SID,SYX,0.952
SID,TEO,0.911
SID,TPC,0.94
SID,TWN,0.961
SID,UGP,0.958
SID,UNF,0.897
SID,Y,0.951
SID,YPF,0.956
SITC,SLF,0.887
SITC,SPG,0.909
SITC,SWK,0.905
SITC,SWN,0.903
SITC,VFC,0.913
SITC,VTR,0.896
SITC,WRI,0.939
SJI,SXT,0.946
HYB,MYN,0.897
IBA,IIM,0.906
IBA,KIM,0.891
IBA,MAA,0.928
IBA,MAC,0.912
IBA,MGA,0.918
IBA,MLP,0.893
IBA,NNN,0.895
IBA,PEG,0.897
IBA,SCI,0.927
IBA,SITC,0.902
IBA,SPG,0.98
IBA,SRE,0.931
IBA,SUI,0.907
IBA,SWN,0.896
IBA,UVV,0.886
IBA,WRE,0.918
IBM,IPG,0.889
IBM,KMPR,0.886
IBM,MSI,0.929
IBM,NUS,0.898
IBM,OFG,0.886
IBM,SAP,0.921
IBM,SCHW,0.889
IBM,SFE,0.885
IBM,TCI,0.929
IBM,TRT,0.893
IBM,VHC,0.927
IBM,WRB,0.901
IDA,RDN,0.894
IDA,TK,0.916
IDA,WTM,0.896
IEX,LH,0.891
IEX,LLY,0.896
IEX,LXP,0.906
IEX,MPV,0.9
IEX,NOC,0.905
IEX,PEAK,0.898
IEX,PNM,0.887
IEX,RHI,0.897
IEX,SHI,0.916
IEX,WPC,0.939
IEX,ZNH,0.904
IFN,IIF,0.975
IFN,KF,0.892
IFN,MKL,0.91
IFN,MXE,0.896
IFN,REV,0.903
IFN,SCS,0.895
IFN,TLK,0.933
IFN,TYL,0.901
IHC,MYC,0.893
IIF,MKL,0.916
IIF,TLK,0.94
IIF,TYL,0.896
IIIN,WGO,0.886
IIM,KIM,0.887
IIM,MAA,0.888
IIM,MAC,0.926
IIM,MLP,0.892
IIM,OMI,0.897
IIM,PSB,0.888
IIM,RGR,0.898
IIM,SPG,0.921
IIM,SUI,0.921
IIM,SWN,0.887
IIM,WRE,0.909
INSI,STE,0.908
IO,LH,0.902
IO,LXP,0.915
IO,SKX,0.902
IO,SSD,0.912
IO,TK,0.89
IO,TKR,0.891
IPG,JOF,0.895
IPG,KMX,0.902
IPG,LDL,0.899
IPG,LEE,0.908
IPG,MHN,0.938
IPG,MMS,0.885
IPG,MSA,0.887
IPG,MSM,0.93
IPG,MT,0.937
IPG,MTN,0.953
IPG,MUC,0.928
IPG,MUJ,0.91
IPG,MVF,0.899
IPG,MVT,0.928
IPG,MXE,0.95
IPG,MXF,0.888
IPG,MYN,0.936
IPG,NAC,0.895
IPG,NAV,0.933
IPG,NTZ,0.919
IPG,NUS,0.925
IPG,NUV,0.905
IPG,NX,0.929
IPG,OFG,0.98
IPG,PKI,0.885
IPG,SCHW,0.919
IPG,SF,0.914
IPG,SFE,0.924
IPG,SID,0.916
IPG,SSL,0.912
IPG,SYX,0.903
IPG,TCI,0.888
IPG,TDF,0.929
IPG,TEO,0.917
IPG,TPC,0.923
IPG,TRT,0.937
IPG,UGP,0.937
IPG,USM,0.95
IPG,VHC,0.962
IPG,WRB,0.893
IPG,YPF,0.889
IRL,JPM,0.922
IRL,KBH,0.886
IRL,KMPR,0.905
IRL,KMX,0.895
IRL,LEE,0.935
IRL,MSA,0.919
IRL,MSM,0.914
IRL,MT,0.946
IRL,MUC,0.913
IRL,NAC,0.895
IRL,NAV,0.946
IRL,NX,0.931
IRL,PGR,0.895
IRL,RBA,0.898
IRL,SID,0.916
IRL,SMG,0.885
IRL,SMP,0.911
IRL,SPB,0.906
IRL,SYX,0.899
IRL,TFC,0.885
IRL,TGNA,0.889
IRL,TJX,0.887
IRL,TPC,0.958
IRL,TRT,0.91
IRL,TWN,0.902
IRL,WRB,0.89
IRL,YPF,0.904
IRS,JOF,0.899
IRS,KF,0.894
IRS,MXE,0.919
IRS,MXF,0.918
IRS,NTZ,0.949
IRS,REV,0.9
IRS,ROK,0.89
IRS,SCHW,0.894
IRS,TDF,0.891
IRS,TEO,0.907
IRS,WMT,0.904
IVZ,PEO,0.901
IVZ,RJF,0.904
JCI,JOF,0.889
JEQ,JPM,0.889
JEQ,NAV,0.897
JEQ,SCHW,0.887
JEQ,TRT,0.888
JNJ,LLY,0.923
JNJ,MLM,0.898
JNJ,NOC,0.895
JNJ,PFE,0.889
JNJ,PLD,0.886
JNJ,SHI,0.886
JNPR,MEI,0.921
JNPR,MXF,0.892
JNPR,TIMB,0.89
JNPR,TSM,0.927
JNPR,TV,0.904
JOF,MXE,0.892
JOF,MXF,0.94
JOF,NAV,0.888
JOF,NTZ,0.887
JOF,NUS,0.919
JOF,OFG,0.923
JOF,OMC,0.897
JOF,SCHW,0.906
JOF,SF,0.964
JOF,SOR,0.889
JOF,WPP,0.902
JOF,WRB,0.899
JPM,KF,0.887
JPM,KMPR,0.905
JPM,LEN,0.885
JPM,LOW,0.902
JPM,MCK,0.922
JPM,MMS,0.933
JPM,MSA,0.9
JPM,MSM,0.916
JPM,MT,0.925
JPM,MXE,0.9
JPM,NAV,0.932
JPM,NUE,0.891
JPM,NX,0.93
JPM,PGR,0.913
JPM,PHI,0.893
JPM,PKI,0.885
JPM,PKX,0.903
JPM,RBA,0.936
JPM,RCL,0.904
JPM,SID,0.933
JPM,SMP,0.89
JPM,SYX,0.94
JPM,TEO,0.908
JPM,TGNA,0.913
JPM,TJX,0.898
JPM,TPC,0.897
JPM,TRT,0.9
JPM,TWN,0.96
JPM,UGP,0.909
JPM,VIV,0.887
JPM,Y,0.91
JPM,YPF,0.937
KBH,KT,0.907
KBH,LEN,0.887
KBH,MSM,0.885
KBH,MYN,0.899
KBH,NTZ,0.891
KBH,NX,0.917
KBH,RBA,0.886
KBH,SID,0.89
KBH,SSL,0.889
KBH,TPC,0.888
KBH,YPF,0.894
KEY,STT,0.905
KEY,TXT,0.894
KF,KT,0.888
KF,MMS,0.891
KF,MTR,0.902
KF,MXE,0.917
KF,PKI,0.922
KF,PKX,0.889
KF,RCI,0.886
KF,REV,0.921
KF,SFE,0.897
KF,SID,0.889
KF,SKM,0.901
KF,SYX,0.901
KF,TDF,0.902
KF,TEO,0.936
KF,TLK,0.923
KF,TWN,0.906
KF,Y,0.887
KF,YPF,0.898
KIM,MLP,0.919
KIM,NSC,0.954
KIM,RGR,0.897
KIM,SHW,0.886
KIM,SRE,0.914
KIM,SRI,0.897
KIM,SUI,0.949
KIM,SWN,0.891
KIM,VTR,0.896
KIM,WELL,0.909
KIM,WRE,0.912
KIM,WTRG,0.917
KMPR,KMX,0.917
KMPR,LEE,0.902
KMPR,MSA,0.931
KMPR,MT,0.906
KMPR,MUC,0.908
KMPR,MYN,0.893
KMPR,NAV,0.892
KMPR,NX,0.907
KMPR,PGR,0.898
KMPR,RBA,0.896
KMPR,RHP,0.89
KMPR,RLI,0.902
KMPR,SMP,0.911
KMPR,SYX,0.91
KMPR,TCI,0.886
KMPR,TGNA,0.9
KMPR,TJX,0.922
KMPR,TPC,0.929
KMPR,TRT,0.937
KMPR,UGP,0.909
KMPR,UNF,0.897
KMPR,VHC,0.921
KMX,LEE,0.929
KMX,LUB,0.885
KMX,MSA,0.949
KMX,MT,0.917
KMX,MTN,0.892
KMX,MUC,0.906
KMX,NAC,0.96
KMX,NJR,0.923
KMX,NQP,0.949
KMX,NX,0.886
KMX,PRG,0.943
KMX,RL,0.91
KMX,SMP,0.914
KMX,SPB,0.89
KMX,TCI,0.939
KMX,TGNA,0.891
KMX,TPC,0.924
KMX,TRT,0.942
KMX,TU,0.922
KMX,USM,0.906
KMX,VHC,0.932
KMX,WRB,0.891
KRC,MGM,0.926
KRC,NNN,0.909
KSS,MS,0.886
KSU,MTZ,0.889
KSU,OMC,0.901
KT,LEN,0.938
KT,TEO,0.901
KT,YPF,0.905
LDL,LEO,0.933
LDL,MVT,0.885
LEE,MHN,0.921
LEE,MSA,0.962
LEE,MT,0.972
LEE,MTN,0.911
LEE,MUC,0.908
LEE,MYN,0.899
LEE,NAC,0.904
LEE,NAV,0.907
LEE,NQP,0.902
LEE,NX,0.931
LEE,OCN,0.889
LEE,RL,0.911
LEE,SFE,0.928
LEE,SMP,0.948
LEE,SON,0.907
LEE,SPB,0.928
LEE,SRT,0.92
LEE,SYX,0.929
LEE,TGNA,0.891
LEE,TJX,0.897
LEE,TPC,0.903
LEE,TRT,0.951
LEE,UGP,0.903
LEE,VHC,0.921
LEE,WRB,0.909
LEN,MXE,0.885
LEO,NQP,0.885
LH,LXP,0.906
LH,MCO,0.913
LH,PNW,0.919
LH,RHI,0.924
LH,SPGI,0.889
LH,SSD,0.953
LH,TKR,0.966
LH,TVE,0.891
LH,VSH,0.895
LH,WPC,0.934
LH,ZNH,0.923
LHX,MTZ,0.887
LHX,SPXC,0.892
LLY,MLM,0.916
LLY,NAT,0.891
LLY,NOC,0.948
LLY,PCG,0.892
LLY,PEAK,0.904
LLY,PEG,0.895
LLY,PLD,0.938
LLY,PNM,0.888
LLY,SHI,0.931
LLY,SKT,0.885
LLY,SO,0.895
LLY,WSO,0.892
LMT,MHK,0.909
LMT,PNW,0.888
LMT,PPL,0.891
LOW,LUMN,0.916
LOW,MCK,0.914
LOW,MMS,0.893
LOW,NUE,0.898
LOW,PKX,0.903
LOW,SID,0.901
LOW,TWN,0.919
LOW,WY,0.888
LOW,Y,0.91
LOW,YPF,0.902
LSI,MAC,0.892
LSI,MPV,0.887
LSI,NOC,0.894
LSI,PCG,0.915
LSI,PEAK,0.889
LSI,PEG,0.917
LSI,SBR,0.894
LSI,SCI,0.895
LSI,SITC,0.894
LSI,SWK,0.886
LSI,WRI,0.92
LUB,RL,0.901
LUMN,MCK,0.889
LUMN,MOV,0.928
LUMN,PHI,0.888
LUMN,PKX,0.887
LUMN,STE,0.917
LXP,MPV,0.924
LXP,MTW,0.927
LXP,NL,0.89
LXP,O,0.921
LXP,PNM,0.906
LXP,PNW,0.904
LXP,SITC,0.896
LXP,SSD,0.899
LXP,WPC,0.891
LXP,WRI,0.898
MAA,MGA,0.896
MAA,MLP,0.934
MAA,PSB,0.936
MAA,SPG,0.899
MAA,SRE,0.942
MAA,SUI,0.908
MAA,UVV,0.946
MAA,WRE,0.917
MAC,MMT,0.895
MAC,MPV,0.93
MAC,O,0.922
MAC,PEAK,0.899
MAC,PEG,0.911
MAC,PLD,0.899
MAC,PNM,0.89
MAC,RES,0.885
MAC,RGR,0.89
MAC,SBR,0.893
MAC,SCI,0.91
MAC,SITC,0.904
MAC,SPG,0.949
MAC,SUI,0.935
MAC,SWN,0.914
MAC,VMI,0.902
MAC,WELL,0.903
MAC,WRI,0.933
MAN,MRK,0.893
MAN,PFE,0.9
MAN,RHI,0.886
MAN,TDY,0.896
MAN,ZNH,0.9
MBI,UHT,0.885
MCK,MMS,0.902
MCK,MTR,0.898
MCK,NUE,0.885
MCK,OI,0.908
MCK,PHI,0.909
MCK,PKX,0.966
MCK,RRC,0.928
MCK,SID,0.898
MCK,TGI,0.885
MCK,TWN,0.938
MCK,Y,0.908
MCK,YPF,0.887
MCO,RHI,0.893
MCO,TKR,0.887
MCO,WPC,0.9
MCY,PGR,0.913
MDP,SWZ,0.887
MDT,MS,0.913
MEI,MXF,0.929
MEI,SCHW,0.909
MEI,SOR,0.892
MEI,TDF,0.916
MEI,TEF,0.892
MEI,TEO,0.891
MEI,TIMB,0.937
MEI,TMO,0.915
MEI,VIV,0.897
MFC,PEG,0.893
MFC,SCI,0.887
MFC,SO,0.901
MFC,SWK,0.93
MFC,TVC,0.889
MFC,WEC,0.895
MFC,WELL,0.923
MFC,WSO,0.898
MFL,MIY,0.885
MFL,ROK,0.918
MGA,NNN,0.905
MGA,PSB,0.926
MGA,SHW,0.915
MGA,SPG,0.901
MGA,SRE,0.925
MGA,UVV,0.93
MGA,WRE,0.946
MGM,MIN,0.901
MGM,NKE,0.911
MGM,NNN,0.916
MGM,VTR,0.913
MHK,TK,0.897
MHK,TKR,0.92
MHK,TVE,0.917
MHN,MSM,0.903
MHN,MT,0.934
MHN,MTN,0.948
MHN,MUC,0.933
MHN,MUJ,0.897
MHN,MXE,0.892
MHN,MYN,0.926
MHN,NUS,0.899
MHN,NUV,0.899
MHN,NX,0.9
MHN,SFE,0.894
MHN,SID,0.892
MHN,SYX,0.908
MHN,TDF,0.89
MHN,TPC,0.893
