Source,Target,Weight
SJM,WRB,0.902
SJT,Y,0.912
SKM,TLK,0.889
SKT,SO,0.952
SKT,SWK,0.887
SKT,WELL,0.928
SKT,WSO,0.913
SKX,SSD,0.89
SKX,TK,0.898
SKX,TVE,0.886
SLF,TVC,0.887
SLG,SUI,0.891
SLG,WRI,0.893
SMG,SRT,0.919
SMP,SPB,0.915
SMP,SRT,0.931
SMP,SYX,0.911
SMP,TGNA,0.91
SMP,TJX,0.92
SMP,TPC,0.885
SMP,TRT,0.925
SMP,TU,0.905
SMP,UNF,0.888
SMP,URI,0.907
SMP,VHC,0.895
SNV,TFC,0.9
SO,SWK,0.914
SO,TVC,0.887
SO,WEC,0.947
SO,WELL,0.91
SO,WSO,0.937
SOR,TDF,0.91
SPB,SYX,0.915
SPB,TGNA,0.918
SPB,TJX,0.952
SPB,TPC,0.89
SPB,TRT,0.921
SPB,UGP,0.891
SPB,USM,0.911
SPB,VHC,0.893
SPB,YPF,0.894
SPE,Y,0.887
SPG,SRE,0.889
SPG,SUI,0.914
SPG,SWN,0.897
SPG,WRE,0.901
SPG,WRI,0.901
SPGI,TDY,0.924
SPGI,WPC,0.942
SPGI,ZNH,0.914
SQM,TDF,0.9
SQM,TEO,0.92
SQM,UGP,0.886
SRE,SRI,0.887
SRE,SUI,0.889
SRE,UVV,0.913
SRE,WRE,0.919
SRI,SUI,0.893
SRI,WTRG,0.916
SSD,TK,0.889
SSD,TKR,0.918
SSD,TVE,0.897
SSD,VSH,0.892
SSL,TEO,0.9
SSL,TPC,0.901
SSL,UGP,0.885
SSL,USM,0.919
SSL,VHC,0.893
STE,Y,0.889
SUI,SWN,0.896
SUI,VMI,0.933
SUI,WELL,0.92
SUI,WRE,0.889
SUI,WRI,0.921
SUI,WTRG,0.897
SWK,TUP,0.888
SWK,VFC,0.915
SWK,WEC,0.895
SWK,WELL,0.949
SWK,WRI,0.912
SWK,WSO,0.921
SWN,UMH,0.913
SWN,VTR,0.89
SYX,TDF,0.916
SYX,TEO,0.954
SYX,TGNA,0.908
SYX,TJX,0.944
SYX,TPC,0.92
SYX,TRT,0.926
SYX,TWN,0.924
SYX,UGP,0.969
SYX,UNF,0.941
SYX,VHC,0.922
SYX,Y,0.929
SYX,YPF,0.937
TCI,TRT,0.893
TCI,TU,0.887
TCI,VHC,0.894
TCI,WRB,0.891
TDF,TEO,0.957
TDF,TRT,0.922
TDF,UGP,0.93
TDF,USM,0.925
TDF,VHC,0.947
TDF,VIV,0.9
TDF,WMB,0.911
TDF,YPF,0.904
TDS,TV,0.886
TEF,TYL,0.896
TEF,VIV,0.938
TEN,VTR,0.912
TEO,TGNA,0.888
TEO,TRT,0.894
TEO,TWN,0.892
TEO,UGP,0.951
TEO,USM,0.902
TEO,VHC,0.915
TEO,VIV,0.932
TEO,Y,0.901
TEO,YPF,0.926
TEVA,TUP,0.9
TFC,WRB,0.896
TGNA,TGT,0.915
TGNA,TJX,0.947
TGNA,TRT,0.931
TGNA,USM,0.906
TGNA,VHC,0.911
TGNA,WRB,0.912
TGNA,YPF,0.887
TGT,TRT,0.892
TGT,USM,0.956
TGT,WRB,0.893
THG,TRV,0.932
TJX,TPC,0.906
TJX,TRT,0.923
TJX,UGP,0.918
TJX,UNF,0.919
TJX,VHC,0.89
TJX,YPF,0.898
TK,TKR,0.899
TKR,TVE,0.921
TKR,WPC,0.91
TMO,WPP,0.889
TPC,TRT,0.927
TPC,UGP,0.93
TPC,UNF,0.914
TPC,USM,0.901
TPC,VHC,0.916
TPC,YPF,0.896
TRT,UGP,0.924
TRT,UNF,0.898
TRT,USM,0.936
TRT,VHC,0.975
TRT,WMB,0.916
TRT,WRB,0.924
TRT,YPF,0.896
TSM,TV,0.932
TU,URI,0.888
TUP,WELL,0.895
TWN,UGP,0.894
TWN,WGO,0.892
TWN,Y,0.947
TWN,YPF,0.92
UDR,VFC,0.901
UGP,UNF,0.948
UGP,USM,0.899
UGP,VHC,0.935
UGP,VIV,0.886
UGP,Y,0.921
UGP,YPF,0.931
UHS,UNH,0.898
UHS,VTR,0.892
UHS,WELL,0.888
UNF,VHC,0.914
USM,VHC,0.945
USM,WMB,0.895
USM,WRB,0.916
UVV,WRE,0.937
VFC,WEC,0.899
VFC,WRI,0.896
VFC,WSO,0.885
VHC,WMB,0.905
VHC,WRB,0.902
VMI,WELL,0.886
VPV,WTRG,0.915
VTR,WRE,0.89
WAT,WPP,0.894
WEC,WSO,0.906
WELL,WRI,0.919
WELL,WSO,0.919
WGO,Y,0.907
WMB,WRB,0.897
WPC,ZNH,0.928
Y,YPF,0.888
NAC,NQP,0.949
NAC,OCN,0.911
NAC,TCI,0.902
NAC,TPC,0.913
NAC,TRT,0.904
NAC,USM,0.891
NAC,VHC,0.897
NAT,NOC,0.943
NAT,PCG,0.922
NAT,PEAK,0.964
NAT,PEG,0.934
NAT,PLD,0.928
NAT,PNM,0.89
NAT,SCI,0.938
NAT,SKT,0.95
NAT,SO,0.928
NAT,SWK,0.954
NAT,WELL,0.95
NAT,WSO,0.898
NAV,NTZ,0.893
NAV,NUS,0.918
NAV,NX,0.931
NAV,OFG,0.923
NAV,PGR,0.909
NAV,PKI,0.935
NAV,SF,0.903
NAV,SFE,0.895
NAV,SID,0.921
NAV,SYX,0.896
NAV,TPC,0.918
NAV,TRT,0.917
NAV,TWN,0.922
NAV,UGP,0.89
NAV,VHC,0.924
NAV,WRB,0.915
NAV,YPF,0.894
NFG,NI,0.933
NFG,SSD,0.902
NI,NL,0.946
NI,O,0.899
NI,PCG,0.906
NI,PEG,0.915
NI,PNM,0.922
NI,PNW,0.95
NI,PPL,0.937
NI,SITC,0.887
NI,SSD,0.905
NI,SWK,0.887
NI,WRI,0.924
NIM,WMB,0.889
NJR,NQP,0.924
NJR,RL,0.937
NJR,SRT,0.904
NL,O,0.904
NL,OFC,0.901
NL,PNM,0.891
NL,PNW,0.908
NL,SSD,0.898
NL,WRI,0.885
NMI,ROK,0.899
NMI,TLK,0.894
NNN,ROG,0.888
NNN,SPG,0.9
NNN,SWN,0.891
