Source,Target,Weight
SKT,SO,0.952
SKT,WELL,0.928
SMG,SRT,0.919
SMP,SPB,0.915
SMP,SRT,0.931
SMP,TJX,0.92
SMP,TRT,0.925
SO,SWK,0.914
SO,WEC,0.947
SO,WSO,0.937
SPB,SYX,0.915
SPB,TGNA,0.918
SPB,TJX,0.952
SPB,TRT,0.921
SPG,SUI,0.914
SPGI,TDY,0.924
SPGI,WPC,0.942
SPGI,ZNH,0.914
SQM,TEO,0.92
SRE,WRE,0.919
SRI,WTRG,0.916
SSD,TKR,0.918
SSL,USM,0.919
SUI,VMI,0.933
SUI,WELL,0.92
SUI,WRI,0.921
SWK,VFC,0.915
SWK,WELL,0.949
SWK,WSO,0.921
SYX,TDF,0.916
SYX,TEO,0.954
SYX,TJX,0.944
SYX,TPC,0.92
SYX,TRT,0.926
SYX,TWN,0.924
SYX,UGP,0.969
SYX,UNF,0.941
SYX,VHC,0.922
SYX,Y,0.929
SYX,YPF,0.937
TDF,TEO,0.957
TDF,TRT,0.922
TDF,UGP,0.93
TDF,USM,0.925
TDF,VHC,0.947
TEF,VIV,0.938
TEO,UGP,0.951
TEO,VHC,0.915
TEO,VIV,0.932
TEO,YPF,0.926
TGNA,TGT,0.915
TGNA,TJX,0.947
TGNA,TRT,0.931
TGT,USM,0.956
THG,TRV,0.932
TJX,TRT,0.923
TJX,UGP,0.918
TJX,UNF,0.919
TKR,TVE,0.921
TPC,TRT,0.927
TPC,UGP,0.93
TPC,UNF,0.914
TPC,VHC,0.916
TRT,UGP,0.924
TRT,USM,0.936
TRT,VHC,0.975
TRT,WMB,0.916
TRT,WRB,0.924
TSM,TV,0.932
TWN,Y,0.947
TWN,YPF,0.92
UGP,UNF,0.948
UGP,VHC,0.935
UGP,Y,0.921
UGP,YPF,0.931
UNF,VHC,0.914
USM,VHC,0.945
USM,WRB,0.916
UVV,WRE,0.937
VPV,WTRG,0.915
WELL,WRI,0.919
WELL,WSO,0.919
WPC,ZNH,0.928
NAC,NQP,0.949
NAT,NOC,0.943
NAT,PCG,0.922
NAT,PEAK,0.964
NAT,PEG,0.934
NAT,PLD,0.928
NAT,SCI,0.938
NAT,SKT,0.95
NAT,SO,0.928
NAT,SWK,0.954
NAT,WELL,0.95
NAV,NUS,0.918
NAV,NX,0.931
NAV,OFG,0.923
NAV,PKI,0.935
NAV,SID,0.921
NAV,TPC,0.918
NAV,TRT,0.917
NAV,TWN,0.922
NAV,VHC,0.924
NAV,WRB,0.915
NFG,NI,0.933
NI,NL,0.946
NI,PEG,0.915
NI,PNM,0.922
NI,PNW,0.95
NI,PPL,0.937
NI,WRI,0.924
NJR,NQP,0.924
NJR,RL,0.937
NNN,VTR,0.938
NNN,WRE,0.942
NOC,PCG,0.95
NOC,PEAK,0.959
NOC,PEG,0.951
NOC,PLD,0.929
NOC,PNM,0.925
NOC,SCI,0.937
